date,confirmed,deaths
2020-03-06,1,0
2020-03-08,1,0
2020-03-12,12,0
2020-03-15,9,0
2020-03-16,1,0
2020-03-18,38,0
2020-03-19,3,2
2020-03-21,53,1
2020-03-22,67,0
2020-03-23,47,1
2020-03-24,72,2
2020-03-25,65,2
2020-03-26,51,1
2020-03-27,72,1
2020-03-28,65,3
2020-03-29,42,4
2020-03-30,57,1
2020-03-31,51,5
2020-04-01,124,5
2020-04-02,160,13
2020-04-03,82,6
2020-04-04,172,11
2020-04-05,148,6
2020-04-06,67,7
2020-04-07,227,18
2020-04-08,250,17
2020-04-09,278,16
2020-04-10,248,25
2020-04-11,143,8
2020-04-12,248,15
2020-04-13,366,12
2020-04-14,189,42
2020-04-15,333,41
2020-04-16,201,36
2020-04-17,405,40
2020-04-18,194,46
2020-04-19,132,15
2020-04-20,224,20
2020-04-21,407,39
2020-04-22,246,29
2020-04-23,620,40
2020-04-24,110,40
2020-04-25,546,45
2020-04-26,283,30
2020-04-27,833,32
2020-04-28,560,61
2020-04-29,365,56
2020-04-30,584,60
2020-05-01,713,67
2020-05-02,380,50
2020-05-03,593,48
2020-05-04,582,46
2020-05-05,670,58
2020-05-06,904,82
2020-05-07,861,189
2020-05-08,1585,109
2020-05-09,1188,150
2020-05-10,133,61
2020-05-11,877,56
2020-05-12,547,158
2020-05-13,242,122
2020-05-14,739,197
2020-05-15,520,191
2020-05-16,1614,176
2020-05-17,637,101
2020-05-18,4427,137
2020-05-19,1140,227
2020-05-20,2567,158
2020-05-21,1717,175
2020-05-22,1500,245
2020-05-23,944,248
2020-05-24,3379,88
2020-05-25,1386,112
2020-05-26,726,256
2020-05-27,2374,244
2020-05-28,2488,251
2020-05-29,3067,223
2020-05-30,4467,198
2020-05-31,968,67
2020-06-01,1142,118
2020-06-02,2202,224
2020-06-03,2508,324
2020-06-04,1692,317
2020-06-05,2134,146
2020-06-06,1467,166
2020-06-07,3223,68
2020-06-08,1743,74
2020-06-09,3480,147
2020-06-10,1394,210
2020-06-11,1402,225
2020-06-12,2009,54
2020-06-13,1052,175
2020-06-14,736,80
2020-06-15,1374,56
2020-06-16,2397,239
2020-06-17,3620,171
2020-06-18,354,274
2020-06-19,6061,183
2020-06-20,2159,229
2020-06-21,596,51
2020-06-22,1439,58
2020-06-23,3297,220
2020-06-24,2624,142
2020-06-25,2404,155
2020-06-26,2600,137
2020-06-27,306,202
2020-06-28,2495,30
2020-06-29,585,29
2020-06-30,728,232
2020-07-01,2667,118
2020-07-02,1545,134
2020-07-03,2133,168
2020-07-04,1472,124
2020-07-05,864,43
2020-07-06,587,31
2020-07-07,2207,183
2020-07-08,2243,89
2020-07-09,1995,145
2020-07-10,1119,165
2020-07-11,232,126
