date,confirmed,deaths
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,1,0
2020-01-26,0,0
2020-01-27,3,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,1,0
2020-02-03,3,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,1,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,1,0
2020-02-12,0,0
2020-02-13,1,0
2020-02-14,1,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,1,0
2020-02-22,19,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,18,0
2020-02-26,0,0
2020-02-27,6,0
2020-02-28,1,0
2020-02-29,6,0
2020-03-01,3,1
2020-03-02,20,1
2020-03-03,14,4
2020-03-04,22,3
2020-03-05,34,2
2020-03-06,74,1
2020-03-07,105,2
2020-03-08,95,3
2020-03-09,121,4
2020-03-10,200,5
2020-03-11,271,2
2020-03-12,287,2
2020-03-13,351,10
2020-03-14,511,7
2020-03-15,777,10
2020-03-16,823,12
2020-03-17,887,16
2020-03-18,1766,23
2020-03-19,2988,42
2020-03-20,4835,0
2020-03-21,5374,110
2020-03-22,7123,80
2020-03-23,8459,131
2020-03-24,11236,119
2020-03-25,8789,211
2020-03-26,13963,249
2020-03-27,16797,246
2020-03-28,18695,411
2020-03-29,19979,484
2020-03-30,18360,318
2020-03-31,21595,661
2020-04-01,24998,909
2020-04-02,27103,1059
2020-04-03,28819,915
2020-04-04,32425,1104
2020-04-05,34272,1344
2020-04-06,25398,1146
2020-04-07,30561,1342
2020-04-08,30613,1906
2020-04-09,33323,1922
2020-04-10,33901,1873
2020-04-11,35527,2087
2020-04-12,28391,1831
2020-04-13,27620,1500
2020-04-14,25023,1541
2020-04-15,26922,2408
2020-04-16,30148,4928
2020-04-17,31667,2299
2020-04-18,30833,3770
2020-04-19,32922,1856
2020-04-20,24601,1772
2020-04-21,28065,1857
2020-04-22,37289,2524
2020-04-23,17588,1721
2020-04-24,26543,3179
2020-04-25,21352,1054
2020-04-26,48529,2172
2020-04-27,26857,1687
2020-04-28,22541,1369
2020-04-29,24132,2110
2020-04-30,27326,2611
2020-05-01,29917,2040
2020-05-02,33955,2062
2020-05-03,29288,1317
2020-05-04,24972,1297
2020-05-05,22593,1252
2020-05-06,23841,2144
2020-05-07,24128,2353
2020-05-08,28369,2239
2020-05-09,26957,1510
2020-05-10,25612,1614
2020-05-11,20258,734
2020-05-12,18117,1156
2020-05-13,22048,1703
2020-05-14,20782,1746
2020-05-15,27143,1773
2020-05-16,25508,1662
2020-05-17,24487,1186
2020-05-18,18873,808
2020-05-19,21841,791
2020-05-20,19970,1568
2020-05-21,23285,1518
2020-05-22,25434,1263
2020-05-23,24147,1305
2020-05-24,21236,1080
2020-05-25,20568,633
2020-05-26,19064,500
