Ordem,UF,Municipio ,Cidade,Admin,Escola,N_alunos,N_participantes,P_Participantes,NSE,NSE,Nivel_Docente,Media_30melhores,Media
1,SP,SAO PAULO,capital,Privada,OBJETIVO COLEGIO INTEGRADO,44,44,100,Muito Alto,Alto ou Muito Alto,67,680.06,658.29
2,SP,SAO PAULO,capital,Privada,VERTICE COLEGIO UNIDADE II,77,69,89.61,Muito Alto,Alto ou Muito Alto,68.1,677.07,649.81
3,SP,SAO CAETANO DO SUL,interior,Privada,VILLARE COLEGIO,16,16,100,Muito Alto,Alto ou Muito Alto,64,NaN,638.54
4,SP,SAO PAULO,capital,Privada,BANDEIRANTES COLEGIO EFM,526,440,83.65,Muito Alto,Alto ou Muito Alto,49.6,719.28,637.29
5,SP,SAO PAULO,capital,Privada,MOBILE COLEGIO,127,113,88.98,Muito Alto,Alto ou Muito Alto,55.3,679.21,636.83
6,SP,SANTOS,interior,Privada,OBJETIVO DO LITORAL CENTRO EDUCACIONAL UNIDADE II,22,22,100,Muito Alto,Alto ou Muito Alto,57.1,NaN,631.64
7,SP,RIBEIRAO PRETO,interior,Privada,SEB COC UNIDADE ALVARES CABRAL,43,42,97.67,Muito Alto,Alto ou Muito Alto,57.9,650.01,630.05
8,SP,MOGI DAS CRUZES,interior,Privada,OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO,47,47,100,Muito Alto,Alto ou Muito Alto,81.1,650.51,629.36
9,SP,SAO PAULO,capital,Privada,SANTA CRUZ COLEGIO,240,188,78.33,Muito Alto,Alto ou Muito Alto,71.9,696.11,628.14
10,SP,SAO BERNARDO DO CAMPO,interior,Privada,TERMOMECANICA COLEGIO,206,193,93.69,Alto,Alto ou Muito Alto,54.1,692.61,628
11,SP,SAO PAULO,capital,Privada,AGOSTINIANO MENDEL COLEGIO,248,240,96.77,Muito Alto,Alto ou Muito Alto,74,696.41,626.31
12,SP,GUARULHOS,interior,Privada,MATER AMABILIS COLEGIO,130,120,92.31,Muito Alto,Alto ou Muito Alto,54.1,676.18,625.74
13,SP,SAO PAULO,capital,Privada,PALMARES COLEGIO EFM,90,72,80,Muito Alto,Alto ou Muito Alto,65.8,662.04,624.37
14,SP,COTIA,interior,Privada,SIDARTA COLEGIO,20,15,75,Muito Alto,Alto ou Muito Alto,76.2,NaN,623.84
15,SP,SANTA CRUZ DO RIO PARDO,interior,Privada,CAMOES COLEGIO,26,23,88.46,Muito Alto,Alto ou Muito Alto,61.5,NaN,622.81
16,SP,SOROCABA,interior,Privada,UIRAPURU COLEGIO,61,59,96.72,Muito Alto,Alto ou Muito Alto,58.8,666.94,622.35
17,SP,TAUBATE,interior,Privada,OBJETIVO JUNIOR COLEGIO,18,18,100,Muito Alto,Alto ou Muito Alto,57.4,NaN,619.25
18,SP,SAO PAULO,capital,Privada,ITACA COLEGIO,37,31,83.78,Muito Alto,Alto ou Muito Alto,100,621.4,618.47
19,SP,VALINHOS,interior,Privada,ETAPA COLEGIO,158,148,93.67,Muito Alto,Alto ou Muito Alto,87.4,676.53,617.68
20,SP,CAMPINAS,interior,Privada,DOM BARRETO COLEGIO,50,49,98,Muito Alto,Alto ou Muito Alto,66.7,651.96,617.37
21,SP,MOGI GUACU,interior,Privada,MONTEIRO LOBATO COLEGIO,29,29,100,Muito Alto,Alto ou Muito Alto,65.9,NaN,617.12
22,SP,MOGI DAS CRUZES,interior,Privada,SAO MARCOS COLEGIO ENSINO MEDIO,20,16,80,Muito Alto,Alto ou Muito Alto,61.2,NaN,617.06
23,SP,VALINHOS,interior,Privada,PORTO SEGURO VISCONDE COLEGIO UNIDADE II,125,115,92,Muito Alto,Alto ou Muito Alto,86.1,668.75,616.91
24,SP,PINDAMONHANGABA,interior,Privada,PROGRESSAO COLEGIO,23,22,95.65,Muito Alto,Alto ou Muito Alto,82.3,NaN,616.45
25,SP,SAO JOSE DOS CAMPOS,interior,Privada,EMBRAER JUAREZ WANDERLEY COLEGIO,201,197,98.01,Alto,Alto ou Muito Alto,49,680.9,615.84
26,SP,SAO PAULO,capital,Privada,ALBERT SABIN COLEGIO,139,129,92.81,Muito Alto,Alto ou Muito Alto,48.4,667.87,615.32
27,SP,SAO PAULO,capital,Privada,BEIT YAACOV ESCOLA,31,28,90.32,Muito Alto,Alto ou Muito Alto,62.4,NaN,614.96
28,SP,BARUERI,interior,Privada,PUERI DOMUS ESCOLA EXPERIMENTAL,26,16,61.54,Muito Alto,Alto ou Muito Alto,31,NaN,614.81
29,SP,BAURU,interior,Privada,DINCAO INSTITUTO DE ENSINO,78,74,94.87,Muito Alto,Alto ou Muito Alto,63.5,657.68,613.94
30,SP,SAO PAULO,capital,Estadual,SAO PAULO ETE DE,200,181,90.5,Muito Alto,Alto ou Muito Alto,61.8,666.81,613.3
31,SP,CAMPINAS,interior,Privada,PROGRESSO CAMPINEIRO COLEGIO,23,21,91.3,Muito Alto,Alto ou Muito Alto,71.7,NaN,612.42
32,SP,SANTO ANDRE,interior,Privada,UNIDADE JARDIM COLEGIO,100,97,97,Muito Alto,Alto ou Muito Alto,64.4,663.35,611.94
33,SP,BARUERI,interior,Privada,LEONARDO ANGLO COLEGIO,62,52,83.87,Muito Alto,Alto ou Muito Alto,44.4,643.99,611.52
34,SP,SAO BERNARDO DO CAMPO,interior,Privada,COLEGIO ARBOS EIEFEM UNIDADE IV,28,27,96.43,Muito Alto,Alto ou Muito Alto,64.1,NaN,611.15
35,SP,SAO PAULO,capital,Estadual,PARQUE DA JUVENTUDE ETE,157,141,89.81,Alto,Alto ou Muito Alto,47,666.84,610.76
36,SP,SAO PAULO,capital,Privada,PENTAGONO COLEGIO UNIDADE CAIUBI,35,31,88.57,Muito Alto,Alto ou Muito Alto,55.2,612.8,610.15
37,SP,SAO PAULO,capital,Privada,BENJAMIN CONSTANT COLEGIO,57,37,64.91,Muito Alto,Alto ou Muito Alto,61.5,625.08,610.03
