REEMBOLSO;NOME DO PARLAMENTAR;ANO;SUBQUOTA TRANSLATED;FORNECEDOR;VALOR
0;ABOU ANNI;2020;Serviços postais;CORREIOS - MALA DIRETA POSTAL BÁSICA-00.000.000/0000-07;88,16
0;ABOU ANNI;2020;Serviços postais;CORREIOS - MALA DIRETA POSTAL BÁSICA-00.000.000/0000-07;121,34
0;ABOU ANNI;2020;Serviços postais;CORREIOS - MALA DIRETA POSTAL BÁSICA-00.000.000/0000-07;1274,13
0;ALENCAR SANTANA BRAGA;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL COM AR-00.000.000/0000-07;61,15
7002207;ALENCAR SANTANA BRAGA;2020;Combustíveis e lubrificantes;AUTO POSTO NOVO GAMA LTDA-20.168.440/0001-60;111,92
7003870;ALENCAR SANTANA BRAGA;2020;Combustíveis e lubrificantes;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA-00.306.597/0045-18;152,68
7002210;ALENCAR SANTANA BRAGA;2020;Combustíveis e lubrificantes;VALBA COMERCIO DE COMBUSTIVEIS LTDA-09.266.999/0001-90;160,56
7002192;ALENCAR SANTANA BRAGA;2020;Combustíveis e lubrificantes;COMERCIAL DE COMBUSTÍVEL MAM LTDA-10.702.904/0001-12;250
7001209;ALENCAR SANTANA BRAGA;2020;Divulgação da atividade parlamentar;WORKING ASSOCIACAO DE INTEGRACAO PROFISSIONAL-08.865.615/0001-92;6000
7001102;ALEX MANENTE;2020;Telefonia;Claro S.A-40.432.544/0001-47;29,89
7001072;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;ENEL-61.695.227/0001-93;47,39
0;ALEX MANENTE;2020;Serviços postais;CORREIOS - SEDEX CONVENCIONAL-00.000.000/0000-07;75,42
7001070;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;ENEL-61.695.227/0001-93;103,54
7001081;ALEX MANENTE;2020;Manutenção de escritório de apoio à atividade parlamentar;Sky Serviços de Banda Larga Ltda-00.497.373/0001-10;142,77
