UF,PIB,Pop_est_2009,classe
BAHIA,57883.9921875,18433,1
RIO GRANDE DO SUL,45723.875,4000,2
ESPIRITO SANTO,19782628,320156,4
MINAS GERAIS,247816,21424,2
PIAUÍ,20951.38085938,7895,1
MINAS GERAIS,187523.671875,26000,1
PIAUÍ,8700461,802537,2
PIAUÍ,65322.88671875,17892,1
GOIÁS,45910.546875,4420,2
PERNAMBUCO,80433.8046875,18123,1
PARÁ,100038.40625,32633,1
PERNAMBUCO,26980.71484375,3108,1
RIO GRANDE DO SUL,490769.53125,28428,2
SERGIPE,12769.73339844,2268,1
SÃO PAULO,1120700,89768,2
PARAÍBA,604882.125,96198,1
TOCANTINS,59541.40625,9514,1
MINAS GERAIS,25568.890625,7087,1
PARAÍBA,62123.3359375,12816,1
AMAZONAS,69843.03125,17614,1
TOCANTINS,11591.94921875,1129,2
SÃO PAULO,52295.234375,3317,2
SANTA CATARINA,364577.8125,16587,2
MINAS GERAIS,39047.0703125,7345,1
MINAS GERAIS,287632.03125,46372,1
BAHIA,23558.44726562,7884,1
CEARÁ,62552.0234375,15114,1
RORAIMA,59372.453125,6028,2
RIO GRANDE DO SUL,37882.76953125,2149,2
PERNAMBUCO,57886.21484375,14913,1
PIAUÍ,62012.0234375,15490,1
MARANHÃO,60842.48046875,16188,1
RIO DE JANEIRO,3008327.25,105633,3
MINAS GERAIS,10221.85644531,1221,1
RIO GRANDE DO SUL,174171.703125,13578,2
PERNAMBUCO,46595.87109375,13623,1
BAHIA,74997.40625,7893,1
PARAÍBA,11964.66210938,3315,1
PARAÍBA,19203.7109375,4949,1
MATO GROSSO,32778.5078125,3970,1
MINAS GERAIS,2120726.75,76608,3
PARÁ,226379.46875,48607,1
BAHIA,92903.8203125,20668,1
PIAUÍ,8614.79785156,2759,1
GOIÁS,145665.390625,2830,3
PARAÍBA,68767.046875,16538,1
BAHIA,62366.88671875,19410,1
TOCANTINS,44565.703125,5822,1
MINAS GERAIS,277495.78125,33773,1
TOCANTINS,263527.4375,8711,3
PARAÍBA,59902.4921875,13354,1
SÃO PAULO,3429098.5,308058,2
RIO GRANDE DO SUL,24098.88671875,1467,2
PARANÁ,29087.8984375,3292,1
BAHIA,75908.4609375,18919,1
SANTA CATARINA,50867.8984375,5054,2
PARÁ,62800.12890625,20411,1
BAHIA,29224.98828125,7666,1
PERNAMBUCO,387086.59375,58819,1
SERGIPE,39924.37890625,8086,1
PARANÁ,37563.4296875,3799,2
MATO GROSSO,49004,3473,2
PARAÍBA,15186.453125,3170,1
MATO GROSSO,45700.81640625,4907,1
MARANHÃO,40995.56640625,11085,1
SÃO PAULO,75881.6875,2927,3
GOIÁS,29350.61328125,3576,1
PARAÍBA,2332828.25,51865,3
PERNAMBUCO,188859.3125,30432,1
ALAGOAS,35078.25390625,11200,1
MATO GROSSO DO SUL,2715506.75,99467,3
MINAS GERAIS,71374.390625,14931,1
MATO GROSSO,321427.21875,11517,3
PARÁ,382807.5625,107060,1
RIO DE JANEIRO,1304643.375,76075,2
ALAGOAS,19550.015625,5083,1
CEARÁ,33615.54296875,11077,1
BAHIA,33105.69921875,7743,1
MARANHÃO,243949.921875,71455,1
PARAÍBA,615180.875,100732,1
SÃO PAULO,82827.171875,10908,1
SANTA CATARINA,128883.09375,3531,3
MINAS GERAIS,14633.55566406,3573,1
ACRE,109181.8671875,14275,1
PARAÍBA,17855.66796875,4319,1
MARANHÃO,31518.8046875,9414,1
MARANHÃO,19792.5078125,4372,1
PARANÁ,39603.3515625,5668,1
PARÁ,282525.6875,52200,1
PERNAMBUCO,41266.19140625,10385,1
RIO GRANDE DO SUL,120895.8828125,10548,2
MARANHÃO,26121.25585938,6363,1
RIO GRANDE DO SUL,597852.75,34225,2
SÃO PAULO,158577.421875,11343,2
BAHIA,112228.7734375,34093,1
