,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,Descrição,classe,desemprego
0,215,BAHIA,Tremedal,2010,57883.9921875,18433,3140.23999023,Produto Interno Bruto per capita,1,9.3
1,306,RIO GRANDE DO SUL,Turuçu,2010,45723.875,4000,11430.96972656,Produto Interno Bruto per capita,2,4.9
2,900,ESPIRITO SANTO,Vitória,2010,19782628,320156,61790.58984375,Produto Interno Bruto per capita,4,8.3
3,3613,MINAS GERAIS,Jacutinga,2010,247816,21424,11567.20996094,Produto Interno Bruto per capita,2,
4,1028,PIAUÍ,Nazária,2010,20951.38085938,7895,2653.75,Produto Interno Bruto per capita,1,6.8
5,3403,MINAS GERAIS,Pedra Azul,2010,187523.671875,26000,7212.45019531,Produto Interno Bruto per capita,1,5.1
6,1029,PIAUÍ,Teresina,2010,8700461,802537,10841.20019531,Produto Interno Bruto per capita,2,4.8
7,5153,PIAUÍ,Amarante,2010,65322.88671875,17892,3650.94995117,Produto Interno Bruto per capita,1,5.6
8,1048,GOIÁS,Matrinchã,2010,45910.546875,4420,10387,Produto Interno Bruto per capita,2,3.9
9,2629,PERNAMBUCO,Cachoeirinha,2010,80433.8046875,18123,4438.22021484,Produto Interno Bruto per capita,1,7.7
10,2141,PARÁ,Afuá,2010,100038.40625,32633,3065.56005859,Produto Interno Bruto per capita,1,6.9
11,2845,PERNAMBUCO,Fernando de Noronha,2010,26980.71484375,3108,8681.04980469,Produto Interno Bruto per capita,1,7.7
12,628,RIO GRANDE DO SUL,Frederico Westphalen,2010,490769.53125,28428,17263.59960938,Produto Interno Bruto per capita,2,5.3
13,1199,SERGIPE,Amparo de São Francisco,2010,12769.73339844,2268,5630.39013672,Produto Interno Bruto per capita,1,7.7
14,4548,SÃO PAULO,Itapeva,2010,1120700,89768,12484.40039062,Produto Interno Bruto per capita,2,5.9
15,2248,PARAÍBA,Bayeux,2010,604882.125,96198,6287.89013672,Produto Interno Bruto per capita,1,9.8
16,5554,TOCANTINS,Ananás,2010,59541.40625,9514,6258.29003906,Produto Interno Bruto per capita,1,6.6
17,3034,MINAS GERAIS,Santo Antônio do Retiro,2010,25568.890625,7087,3607.86010742,Produto Interno Bruto per capita,1,6
18,2458,PARAÍBA,Serra Branca,2010,62123.3359375,12816,4847.33007812,Produto Interno Bruto per capita,1,9.7
19,1008,AMAZONAS,Envira,2010,69843.03125,17614,3965.19995117,Produto Interno Bruto per capita,1,8.8
20,5357,TOCANTINS,Oliveira de Fátima,2010,11591.94921875,1129,10267.45019531,Produto Interno Bruto per capita,2,5.3
21,4293,SÃO PAULO,Elisiário,2010,52295.234375,3317,15765.8203125,Produto Interno Bruto per capita,2,7.9
22,5437,SANTA CATARINA,Otacílio Costa,2010,364577.8125,16587,21979.73046875,Produto Interno Bruto per capita,2,6.4
23,3243,MINAS GERAIS,Sericita,2010,39047.0703125,7345,5316.14013672,Produto Interno Bruto per capita,1,4.7
24,3352,MINAS GERAIS,Diamantina,2010,287632.03125,46372,6202.70996094,Produto Interno Bruto per capita,1,5.9
25,4559,BAHIA,Maetinga,2010,23558.44726562,7884,2988.12988281,Produto Interno Bruto per capita,1,10.1
26,4890,CEARÁ,Iracema,2010,62552.0234375,15114,4138.68017578,Produto Interno Bruto per capita,1,5.5
27,1529,RORAIMA,São João da Baliza,2010,59372.453125,6028,9849.45019531,Produto Interno Bruto per capita,2,6.5
28,647,RIO GRANDE DO SUL,Paulo Bento,2010,37882.76953125,2149,17628.08984375,Produto Interno Bruto per capita,2,4.9
