gid,UF,nome,Censo,PIB,pop,classe,desemprego,pop_sanea,expec_vida,pobreza,IDH,urbaniz,dens_pop_urbana
752,ACRE,Acrelândia,2010,151120.015625,12241,2,5.2,33.532382097232,73.6,19.2,660,rural,muito baixa
747,ACRE,Assis Brasil,2010,48347.30078125,5662,1,5,32.2521625920009,74.2,18.9,664,rural,muito baixa
748,ACRE,Brasiléia,2010,194979.828125,20238,1,3,31.6633544619487,75.3,19.5,667,baixo,média
754,ACRE,Bujari,2010,88708.03125,6772,2,4.8,33.5013574551834,73.4,19.1,659,rural,muito baixa
751,ACRE,Capixaba,2010,89052.6796875,9287,1,4.4,33.4313826152774,75.4,18.1,661,rural,muito baixa
757,ACRE,Cruzeiro do Sul,2010,684349.25,77004,1,5.5,35.2025170103654,75.3,19.6,663,médio,média
749,ACRE,Epitaciolândia,2010,129641.09375,14224,1,4.8,33.5870292778759,72.6,18.2,665,rural,muito baixa
756,ACRE,Feijó,2010,239317.046875,32261,1,5.1,33.1981875644919,75.3,19.2,660,baixo,média
745,ACRE,Jordão,2010,41673.13671875,6520,1,3.3,33.0300757459971,73.4,18.8,666,rural,muito baixa
758,ACRE,Mâncio Lima,2010,103294.7421875,14774,1,4.4,32.3487208744948,72.5,18.9,659,baixo,baixa
755,ACRE,Manoel Urbano,2010,61478.73046875,7505,1,3.6,33.2998830911867,74.6,18.4,659,rural,muito baixa
739,ACRE,Marechal Thaumaturgo,2010,109181.8671875,14275,1,3.5,33.5087517079311,72.6,19.2,662,rural,muito baixa
1298,ACRE,Plácido de Castro,2010,204410.5625,18235,2,3.3,33.9089155429295,73.3,19.5,663,baixo,baixa
736,ACRE,Porto Acre,2010,160340.78125,14682,2,5.7,34.2593114853241,74.8,18.4,657,rural,muito baixa
738,ACRE,Porto Walter,2010,64432.35546875,8855,1,5.6,33.4238766516871,74.2,18.6,657,rural,muito baixa
735,ACRE,Rio Branco,2010,3837370.75,305954,2,2.8,34.5369438811981,74.9,18,662,muito alto,baixa
737,ACRE,Rodrigues Alves,2010,153169.609375,13460,2,4.8,33.8710796258252,74.1,18.6,663,rural,muito baixa
734,ACRE,Santa Rosa do Purus,2010,28091.17382812,4358,1,3.6,32.0234185871233,73.7,18,669,rural,muito baixa
746,ACRE,Sena Madureira,2010,371556.0625,36166,2,5.5,34.2059567998067,75.4,18.7,668,rural,muito baixa
1299,ACRE,Senador Guiomard,2010,217153.859375,19697,2,3.3,33.3893688989089,73.7,19,659,rural,muito baixa
753,ACRE,Tarauacá,2010,258505.0625,33883,1,5,34.0971947709588,75.2,19.6,664,baixo,média
750,ACRE,Xapuri,2010,150262.34375,15079,2,5.6,34.0294539464904,73.3,19.2,667,rural,muito baixa
829,ALAGOAS,Água Branca,2010,59232.4921875,19989,1,10.8,31.1429639706462,73.1,19.6,636,rural,muito baixa
777,ALAGOAS,Anadia,2010,72170.7265625,17740,1,9,33.4846380318024,73.3,19.6,626,rural,muito baixa
715,ALAGOAS,Arapiraca,2010,1658976.875,210521,1,9.5,30.1950232377347,73.1,19.7,635,alto,média
782,ALAGOAS,Atalaia,2010,208935.734375,53023,1,8.5,31.4383920189055,73.3,21.5,627,rural,muito baixa
742,ALAGOAS,Barra de Santo Antônio,2010,53292.31640625,14435,1,10.6,31.4288969924261,72,20.6,629,rural,muito baixa
789,ALAGOAS,Barra de São Miguel,2010,47460.00390625,7572,1,10.4,30.2204098602682,72.8,21.1,637,rural,muito baixa
720,ALAGOAS,Batalha,2010,66246.3359375,16919,1,9.3,30.638811418071,71.8,21,636,rural,muito baixa
801,ALAGOAS,Belém,2010,19550.015625,5083,1,8.8,31.0757378798223,70.6,21.1,636,rural,muito baixa
721,ALAGOAS,Belo Monte,2010,30603.25585938,7510,1,8.9,30.5291448262381,70.7,21.5,633,rural,muito baixa
780,ALAGOAS,Boca da Mata,2010,152409.21875,26030,1,9.9,30.2743756449568,73.5,21.2,630,rural,muito baixa
774,ALAGOAS,Branquinha,2010,42036.96875,12215,1,9.2,32.0686132729195,72.7,20.4,631,rural,muito baixa
