carbon_monoxide_A,carbon_monoxide_B,carbon_monoxide_C
49,57,78
45,54,81
48,59,86
52,58,87
49,63,86
44,60,87
40,55,87
44,54,91
45,50,94
49,54,92
52,54,90
54,51,93
58,47,92
56,52,95
52,52,91
54,50,95
50,48,97
53,47,101
55,45,106
52,46,111
56,43,106
61,40,102
61,39,103
58,34,103
57,31,106
55,36,107
54,40,102
55,42,100
51,40,101
56,43,101
59,39,103
54,44,101
56,48,97
56,47,99
52,46,96
47,44,101
51,49,97
50,47,95
46,48,90
45,51,85
49,48,84
49,45,82
53,50,78
49,46,73
47,41,68
51,36,69
53,40,73
52,40,77
54,44,81
55,39,86
59,39,84
63,44,86
61,46,85
59,45,88
63,41,85
60,44,83
64,39,78
64,35,80
60,36,80
65,34,77
69,36,82
73,39,82
73,43,82
77,40,84
81,37,80
77,37,82
78,39,83
74,43,79
69,47,84
65,46,86
69,41,91
65,43,95
62,38,97
67,39,97
69,37,98
69,34,96
67,34,100
62,32,105
61,31,100
57,33,105
62,31,102
59,30,101
57,29,97
59,28,93
57,32,94
58,27,90
59,24,88
54,26,83
52,30,83
49,26,81
46,21,83
49,17,88
53,22,93
58,23,95
60,19,98
60,27,102
57,28,101
53,33,104
52,35,99
57,39,99
60,36,95
56,34,100
56,37,105
59,35,109
61,35,105
66,30,101
67,30,102
63,33,98
62,36,98
61,41,96
63,43,95
59,46,99
61,44,95
63,49,97
60,47,99
56,42,99
61,43,103
57,39,101
52,43,97
48,38,98
52,35,94
57,35,93
52,39,98
50,42,96
53,38,92
57,39,90
53,37,93
50,34,89
51,31,91
54,35,93
51,30,98
53,26,94
53,22,97
48,18,97
43,25,92
44,24,92
44,23,89
47,24,87
45,20,88
46,17,91
41,18,91
45,28,90
44,24,85
44,28,86
45,31,88
46,33,86
51,38,82
49,35,85
53,30,82
55,35,85
60,37,87
58,36,85
58,36,81
54,35,80
57,30,76
62,29,79
59,34,74
57,30,77
62,34,81
60,33,85
58,37,86
57,35,82
52,39,86
56,37,81
61,33,80
56,32,82
57,29,81
61,27,78
64,22,81
60,26,81
57,26,81
56,24,82
56,19,82
55,24,87
51,25,87
46,20,88
43,21,90
48,18,89
45,27,86
40,30,91
43,33,95
43,32,95
41,31,97
37,34,98
35,37,96
30,34,96
27,31,92
31,36,94
28,32,93
27,27,96
22,29,101
26,27,98
27,30,95
25,32,99
20,30,94
23,30,99
22,34,96
26,32,96
26,27,96
24,26,94
19,25,91
27,24,92
31,28,92
36,27,91
31,25,87
36,20,85
33,19,90
35,22,86
33,20,84
37,17,82
34,19,80
29,27,83
29,30,84
28,35,86
31,33,86
35,31,86
30,26,87
30,21,83
34,20,82
38,24,87
38,22,92
35,18,93
40,23,97
36,23,95
34,21,98
31,19,96
28,20,101
30,15,103
26,24,100
27,22,98
23,17,98
25,19,99
22,22,100
23,18,105
28,25,106
26,21,109
30,24,110
28,29,105
29,28,104
26,26,105
26,31,107
29,31,112
31,30,109
28,29,109
29,28,109
33,33,112
37,29,114
32,25,113
27,20,116
22,25,118
22,28,113
20,23,111
19,22,110
22,27,110
20,32,109
15,35,110
22,33,106
